Modelo;Descripcion;Cant;Categoria;Cod barras;FECHA;
LVKV372PRO; Kit extensor de video HDMI/ Resolucion 1080p/ CAT 6/ 6A Cobre / Hasta 50 metros/ Loop HDMI en transmisor/ Transmisor IR/ Plug and play;1;REDES;6955361237753;03/02/2026;
DS-PDP18-EG2(P);Detector PIR Cableado para Interior / Inmunidad a Mascotas / Rango de Detección de 18 mts / Angulo de 85.9° de Cobertu;2;ALARMA;6941264044208;03/02/2026;
DS-PDP15P-EG2-WB; Detector PIR Inalámbrico Interior serie AX PRO / Inmunidad a Mascotas / Rango de Detección de 15 mts / Angulo de 85.9° de Cobertura;1;ALARMA;6942160434575;03/02/2026;
DS-PDPC12P-EG2-WB;CÁMARA Inalámbrica + PIR / 6 Años de Batería / Inmunidad a Mascotas / Rango de Detección de 12 mts / Angulo de 85.9° de Cobertura / Uso Interior;1;ALARMA;6941264065593;03/02/2026;
CS-H6C;EZVIZ H6c;1;CCTV;6941545614847;03/02/2026;
DH-H3A;Cámara IP Domo Motorizado Wifi de 3 Megapíxeles con IA, autotracking, audio bidireccional (micrófono y altavoz), sirena integrada, IR de 10 m, detección de humanos y ranura MicroSD;1;CCTV;6923172567437;03/02/2026;
DS-PS1-B;Sirena Estrobo Cableada Hikvision / Ideal para cualquier Panel de Alarma / Azul / 105 dB / Proteccón IP54;1;ALARMA;6941264081241;03/02/2026;
DS-PK1-LRT-HWB;Teclado Compatible con el Panel Hybrid Pro Hikvision DS-PHA64-LP y DS-PHA64-LP(B) / Pantalla LCD / 2 zonas cableadas / 1 salida de alarma / 64 Llaveros;1;ALARMA;6931847164393;03/02/2026;
DS-PM1-RT-HWB;Expansor de 32 Zonas Inalámbricas Tri-X / Conexión Speed-X Bus Hacia el Panel / Permite Agregar Sensores AX PRO;1;ALARMA;6931847180812;03/02/2026;
SYSNG-HS;Energizador con tecnología SMT de 12,000Volts - .5 Joules / 500 Mts Lineales de Protección / Cercas Electrificadas;1;CERCOS;;03/02/2026;
EYM12000127/NG;Energizador Modular para Cercos Eléctricos, Salida de Hasta 12,500 V, Alcance de 2,500 Metros Lineales (500 Metros en 5 Líneas), Alimentación 110/220 VAC, Compatible con Módulo WiFi,;1;CERCOS;;03/02/2026;
DS-PWA48-E-WB;Panel de Alarma Inalámbrico de Hikvision / Soporta 48 Zonas / Wi-Fi y Ethernet / Incluye Batería de respaldo / Compatible con los Accesorios AX PRO;1;ALARMA;6941264085461;03/02/2026;
DS-PS1-E-WB/B;"Sirena Inalámbrica con Estrobo Azul para Exterior IP65 / 110 dB
";1;ALARMA;6941264065197;03/02/2026;
DS-PHA64-LP(B);Panel de Alarma AX HYBRID PRO / Wi-Fi / 8 Zonas Cableadas Directas al Panel / 56 Zonas Expandibles: Inalámbricas o Cableadas por Medio de Módulos / Soporta Integración de Batería de Respaldo / 32 Particiones (Áreas);1;ALARMA;6942160472157;03/02/2026;
DS-PK1-E-WB;(AX PRO) Teclado Inalámbrico para Armado y Desarmado / Funciones de Automatización para control de Relevadores;1;ALARMA;6941264065098;03/02/2026;
DS-2CD1067G2H-LIUF;[Dual Light + ColorVu] Bala IP 6 Megapixel / Lente 2.8 mm / 30 mts IR + 30 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / WDR 120 dB / PoE / Micro SD;1;CCTV;6942160447797;03/02/2026;
DS-2CD1023G2-LIU(F);[Dual Light] Bala IP 2 Megapixel / Lente 2.8 mm / 30 mts IR + 30 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / H.265 / PoE / Micro SD;1;CCTV;6931847189105;03/02/2026;
DS-2CD1047G2H-LIUF;[Dual Light + ColorVu] Bala IP 4 Megapixel / Lente 2.8 mm / 30 mts IR + 30 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / dWDR / PoE / Micro SD;1;CCTV;6942160448022;03/02/2026;
DS-2CD1T67G2H-LIUF;[Dual Light + ColorVu] Bala IP 6 Megapixel / Lente 4 mm / 50 mts IR + 50 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / WDR 120 dB / PoE / Micro SD;1;CCTV;6942160447957;03/02/2026;
PTC1640U;Transformador 16VCA / 40VA #cer Fusible Interno para paneles y módulos de NEO, Power Series y Maxsys;2;ALARMA;;03/02/2026;
OUTP5ECCAEXT;Cable UTP CCA, categoría 5E, color negro, 305 metros para exterior, con 4 pares y doble forro;1;;;03/02/2026;
DH-PFM922I-5EUN-C;Bobina de cable UTP Cat5e de 305 metros, color blanco, ideal para instalaciones interiores. Conductor de CCA y cubierta de FR-PVC, cumple con la normativa ROHS para una alta calidad y seguridad.;2;CCTV;;03/02/2026;
DS-2CV1023G2-LIDWF(B);Bala IP 2 Megapixel / Lente 2.8 mm / Dual Light (30 mts IR + 30 mts Luz Blanca) / Wi-Fi / ACUSENSE / Audio Bidireccional (Micrófono y Bocina) / IP66 / dWDR / Micro SD;3;CCTV;;03/02/2026;
DH-PFM922I-5EUN-C-100;Bobina de 100 metros de cable UTP Cat 5e, fabricado con conductores de aluminio revestidos de cobre (CCA), en color blanco. Ideal para uso en interiores, con cubierta FR-PVC retardante de flama;2;CCTV;;03/02/2026;
DH-PFM920I-5EUN-C-V2-100 (white);Bobina de 100 Mts de Cable UTP Cat5e/ 100% Cobre/ Color Blanco/ Ideal para Video y Redes/;0;CCTV;;03/02/2026;
DS-2CD1023G2-LIU(F);[Dual Light] Bala IP 2 Megapixel / Lente 2.8 mm / 30 mts IR + 30 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / H.265 / PoE / Micro SD;1;CCTV;;03/02/2026;
DS-2CE17K0T-LFS;[Dual Light + ColorVu] Bala TURBOHD 3K (5 Megapixel) / Lente 2.8 mm / 40 mts IR + 40 mts Luz Blanca / Gran Angular 104.5° / Exterior IP67 / Micrófono Integrado / dWDR / 4 Tecnologías;3;CCTV;;03/02/2026;
DS-2CD1067G2H-LIUF;[Dual Light + ColorVu] Bala IP 6 Megapixel / Lente 2.8 mm / 30 mts IR + 30 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / WDR 120 dB / PoE / Micro SD;1;CCTV;;03/02/2026;
DS-2CD1047G2H-LIUF;[Dual Light + ColorVu] Bala IP 4 Megapixel / Lente 2.8 mm / 30 mts IR + 30 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / dWDR / PoE / Micro SD;1;CCTV;;03/02/2026;
